연도,시도,시군구,사고건수,사망자수,부상자수,치사율,차대사람,차대차,차량단독,철길건널목,과속,중앙선 침범,신호위반,안전거리 미확보,안전운전 의무 불이행,보행자 보호의무 위반,교차로 통행방법 위반,기타
2021,부산광역시,부산광역시 남구,705,4,898,0.57,158,529,18,0,0,18,55,78,451,32,33,38
2021,부산광역시,부산광역시 동구,484,5,626,1.03,100,347,37,0,0,12,38,92,213,66,26,37
2021,부산광역시,부산광역시 동래구,839,5,1086,0.6,208,610,21,0,0,18,106,61,471,61,47,75
2021,부산광역시,부산광역시 부산진구,1662,10,2270,0.6,412,1193,57,0,0,59,274,205,818,73,77,156
2021,부산광역시,부산광역시 북구,566,7,747,1.24,127,413,26,0,0,16,79,78,275,36,31,51
2021,부산광역시,부산광역시 사상구,705,12,917,1.7,185,508,12,0,0,17,111,83,385,31,26,52
2021,부산광역시,부산광역시 사하구,876,14,1143,1.6,201,643,32,0,0,32,126,132,452,45,33,56
2021,부산광역시,부산광역시 서구,433,2,590,0.46,107,301,25,0,0,21,52,32,227,31,17,53
2021,부산광역시,부산광역시 수영구,664,4,871,0.6,167,483,14,0,0,20,67,49,405,40,28,55
2021,부산광역시,부산광역시 연제구,666,2,904,0.3,179,478,9,0,0,16,92,72,302,68,51,65
